Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
96,Malik Cunningham,25,NWE,QB,1,0,,0,0,,0,0,,0,,0,,,,,,0.0,,,1,5,100.00,-5.00,-5.00,0,0,,CunnMa00
97,DeeJay Dallas,25,SEA,RB,17,0,,0,0,,0,0,,0,,0,,,,,,0.0,,12.4,1,0,100.00,0.00,0.00,0,0,,DallDe00
98,Tank Dell,24,HOU,WR,11,8,,0,0,,0,0,,0,,0,,,,,,0.0,,1.1,1,1,100.00,-1.00,-1.00,0,0,,DellNa00
99,Chris Godwin,27,TAM,WR,17,17,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.8,0,0,0.00,0.00,0.00,0,0,,GodwCh00
100,Connor Heyward,24,PIT,TE,17,7,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,7.1,0,0,0.00,0.00,0.00,0,0,,HeywCo00
101,DeAndre Hopkins,31,TEN,WR,17,16,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,17.2,0,0,0.00,0.00,0.00,0,0,,HopkDe00
102,Tanner Hudson,29,CIN,TE,12,1,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,4,100.00,-4.00,-4.00,0,0,,HudsTa00
103,Josh Jacobs,25,LVR,RB,13,13,,0,0,,0,0,,0,,0,,,,,,0.0,,0.2,1,4,100.00,-4.00,-4.00,0,0,,JacoJo01
104,Justin Jefferson,24,MIN,WR,10,9,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,14.2,0,0,0.00,0.00,0.00,0,0,,JeffJu00
105,Nathan Peterman,29,CHI,QB,2,0,,0,0,,0,0,,0,,0,,,,,,0.0,,2.1,1,5,100.00,-5.00,-5.00,0,0,,PeteNa00
106,Aaron Rodgers,40,NYJ,QB,1,1,1-0-0,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,2.5,1,10,50.00,-5.00,-5.00,0,0,,RodgAa00
